"DEWP","TEMP","Iws"
-3,19,8.94
-15,6,21.9
-8,7,97
23,31,3.13
-23,-11,103.7
14,24,6.26
-20,-5,19.67
-12,-4,4.92
-1,20,4.02
-18,-3,58.56
22,23,0.89
-21,-3,8.05
0,18,8.04
6,11,45.6
3,12,19.68
-10,-3,1.78
21,27,2.67
-6,-1,1.34
-23,-6,277.14
9,16,0.89
0,0,0.89
-3,21,45.17
24,26,3.58
18,19,0.89
-14,3,158.27
13,30,10.28
-18,4,86.73
14,15,2.67
-10,6,62.58
17,30,8.5
23,26,1.79
20,27,0.89
-15,-4,9.84
17,27,1.79
-12,-6,12.08
-1,6,2.68
-19,-9,1.79
-15,-6,0.89
-6,-6,8.05
-19,9,2.68
-20,-4,11.63
22,27,4.92
-19,7,201.18
-12,7,30.86
-14,3,69.73
23,30,3.56
-9,8,8.5
8,21,3.58
14,32,0.89
-17,-2,13.41
-6,0,1.79
-23,-5,204.73
14,21,23.24
-7,9,89.42
17,20,23.71
10,29,40.24
12,24,10.28
7,16,0.89
27,30,12.07
22,25,4.92
-7,19,59.01
-26,-3,179.27
7,18,1.79
-14,10,23.69
-3,18,3.13
10,24,2.68
10,16,14.3
-17,-8,0.89
18,27,3.13
-21,-13,0.89
-13,-4,0.89
-9,8,1.79
18,22,4.92
3,22,4.47
18,20,3.13
-17,3,189.55
4,14,1.78
-11,-3,0.89
-5,10,46.04
-7,9,4.02
6,23,10.73
0,4,0.89
0,32,9.83
-4,0,1.78
-9,0,0.89
-23,1,23.24
15,22,1.79
25,30,7.15
15,21,4.92
12,29,19.23
5,6,1.79
-14,6,0.89
4,7,0.89
-24,-2,54.53
13,20,82.26
-10,1,25.94
-1,0,3.58
-5,6,2.68
9,15,1.79
23,25,21.92
2,22,4.92
-16,-11,7.6
22,23,17.89
-5,-3,32.18
15,26,1.79
-19,-5,360.28
-11,-3,40.68
-9,2,1.79
-16,-5,37.54
11,16,0.89
12,21,34.41
21,25,1.79
-4,25,38
10,20,2.68
-10,-8,1.35
17,18,7.15
18,23,45.14
-12,9,3.13
23,27,27.72
-9,20,1.78
-20,-4,349.55
-5,10,51.86
2,4,4.47
12,13,0.89
21,23,51.88
0,4,0.89
-4,21,79.15
1,4,12.97
-18,-5,62.14
9,27,3.56
10,11,0.89
-11,-10,6.71
-2,25,216.79
11,16,27.72
-8,0,0.89
24,30,8.05
-19,-15,0.45
13,28,6.26
9,12,0.89
19,25,0.89
-15,4,28.16
7,16,0.89
18,27,0.89
20,26,1.79
10,13,0.89
20,22,4.47
-20,7,13.85
-1,0,1.79
19,20,0.89
-26,-9,2.23
-2,16,21.01
0,17,3.13
5,21,1.79
-22,-3,49.61
-9,9,47.82
19,21,1.79
-7,-6,17.43
-6,20,3.58
19,23,0.89
4,18,57.23
-15,-3,0.89
12,22,1.79
6,16,8.05
14,16,10.29
-21,3,40.68
19,20,8.94
-9,0,3.12
-10,3,1.79
12,23,35.77
0,11,0.89
11,25,1.79
-26,-13,1.79
-14,6,11.63
-13,4,0.89
19,22,1.79
1,4,53.63
-14,3,196.24
25,26,5.37
24,27,71.54
20,25,11.18
-11,0,3.13
8,20,67.04
6,11,8.01
-3,27,5.81
12,16,19.67
-13,-3,5.81
19,20,6.26
24,26,1.79
8,14,7.6
-1,1,29.5
14,17,11.17
-16,-3,151.09
8,15,1.79
-4,6,29.51
14,34,1.79
11,26,5.81
2,9,4.92
21,21,3.12
-3,17,139.46
25,26,8.05
-4,17,3.13
26,30,0.89
16,21,36.66
-19,-4,235.56
14,25,1.79
19,20,0.89
-18,-10,19.22
-22,-11,88.05
24,27,4.92
17,17,0.89
-9,-1,0.89
-3,18,1.79
23,28,4.02
19,30,4.01
-20,8,29.95
16,20,37.12
-2,5,16.09
15,31,27.27
-7,-4,32.64
13,16,2.68
-16,-2,11.17
21,24,4.92
-8,1,4.46
-2,22,260.6
17,24,4.92
-14,11,1.79
11,11,4.92
22,30,1.79
-8,7,148.86
15,34,13.41
3,13,0.89
-2,2,2.23
19,22,3.58
-1,0,1.78
15,19,1.79
-1,6,0.89
-8,-6,5.81
-18,-6,7.6
2,9,0.89
4,17,9.84
-23,1,3.56
18,21,0.89
-24,-2,23.25
20,29,20.57
17,29,1.79
23,26,1.79
16,18,4.92
23,24,1.79
24,33,7.14
-23,0,159.13
-19,-5,9.83
9,23,14.76
10,15,4.47
20,24,1.79
16,22,20.57
-16,19,3.13
-13,7,29.95
8,15,0.89
23,28,3.56
20,23,4.92
-6,2,3.56
13,16,0.89
-13,-8,1.78
-14,24,97.46
16,35,16.54
4,5,0.89
21,23,1.79
-23,2,11.18
15,16,9.84
-16,-4,4.02
-10,6,9.84
6,9,4.91
-7,-2,12.52
15,18,69.73
9,28,0.89
-14,-11,0.45
15,18,0.89
-5,-2,1.79
-4,-1,15.66
-7,3,1.79
22,30,17
-8,19,1.79
-11,-8,0.89
-12,11,3.13
12,14,0.89
16,20,8.05
-5,-3,15.21
23,32,3.13
24,25,0.89
-11,15,112.64
-14,-13,0.89
-8,-5,20.56
7,11,16.54
-15,-2,17.89
-13,17,54.09
22,23,5.81
-6,-4,71.11
5,6,0.89
-18,-1,78.22
19,20,1.79
-4,13,27.27
-11,5,5.81
22,30,22.35
-4,12,4.02
7,26,12.07
5,17,12.97
11,14,15.64
17,19,38.91
-10,12,18.33
21,22,1.78
-3,9,1.79
-18,-4,1.79
0,19,6.25
-23,2,6.26
-19,2,0.89
-2,1,1.79
-4,4,16.98
-19,-8,1.79
18,26,37.55
-10,1,4.45
23,24,0.45
-20,-3,14.75
-11,13,11.18
14,33,27.71
-8,0,73.29
23,26,51.41
16,20,1.79
21,28,86.72
15,18,2.23
18,20,9.84
15,17,1.79
-9,7,67.94
-18,-10,0.89
-7,25,21.01
-5,-3,3.13
20,32,9.39
8,12,1.34
18,19,2.68
11,18,3.58
-19,-11,1.79
-16,3,96.12
-17,-13,3.57
11,28,35.76
11,20,4.45
11,34,5.37
-1,0,3.58
-6,-1,1.79
19,20,3.13
23,24,1.79
11,28,45.16
-7,28,4.92
-5,-3,0.89
-4,-2,3.58
23,23,3.13
17,32,6.71
17,20,6.26
18,20,3.13
-15,-1,11.63
8,19,23.26
-16,-1,8.94
8,26,15.19
-4,17,1.79
14,18,0.89
-17,1,16.09
20,21,1.79
21,21,0.89
1,19,31.29
22,28,53.22
8,32,4.02
-13,-3,4.92
11,21,25.93
14,23,3.13
-3,13,10.73
19,23,12.96
-17,1,109.08
12,32,6.7
23,27,1.79
-3,7,3.58
15,18,0.89
-18,5,4.02
-16,17,0.89
-11,0,4.92
25,28,1.78
21,30,9.84
5,19,6.26
21,29,1.79
21,24,0.89
-5,-2,63.05
-7,1,66.61
24,35,13.86
-7,0,16.1
3,34,23.69
-20,-2,98.79
-3,-2,2.68
-2,12,1.79
21,22,3.13
20,26,34.87
-5,-4,29.08
9,26,16.98
19,21,23.69
-2,10,33.97
0,19,19.21
-25,-8,19.67
15,28,7.15
6,25,8.05
-16,-2,1.78
19,31,3.13
-13,9,61.25
14,38,3.13
-12,2,37.55
-9,-1,0.89
-20,0,1.79
-13,-7,1.79
16,21,1.79
-18,2,118.02
-13,10,4.92
18,19,4.02
17,19,1.79
3,15,3.13
-7,-3,6.26
18,22,8.5
-15,-9,4.02
-4,0,2.68
-16,5,94.33
-13,-6,2.67
-6,21,25.05
-9,-4,0.89
-3,0,16.99
18,20,0.89
18,23,12.97
-11,27,22.36
-1,23,25.03
-16,1,0.89
-15,-7,4.92
-9,1,10.28
18,30,17.88
2,5,0.89
-23,-3,370.14
-17,1,18.77
18,21,7.15
23,24,5.37
4,4,0.89
-1,7,12.52
-15,5,345.53
18,18,0.89
4,15,4.92
13,15,11.18
18,23,3.58
3,10,0.89
20,22,8.03
0,15,8.5
-8,10,0.89
19,27,63.92
-21,-4,172.98
-2,24,1.79
16,27,22.8
-11,-6,12.06
21,24,21.02
13,31,29.51
-15,-3,3.13
-9,-5,1.79
-1,2,28.17
-25,0,7.15
-22,-8,0.89
-17,11,12.96
12,14,0.89
9,29,8.05
-10,-2,8.05
7,11,1.79
22,26,37.11
-16,9,16.09
9,14,114.89
11,13,8.04
-9,-2,1.78
-16,-11,4.46
-12,3,10.28
21,29,3.58
14,23,1.79
16,30,1.79
6,10,1.79
24,28,35.76
15,26,0.89
-19,-6,35.76
-23,-5,0.89
-1,7,11.18
18,24,33.08
-5,-3,0.89
7,7,24.59
6,20,8.05
15,18,20.12
-20,-9,0.89
23,26,0.89
-6,2,1.79
-16,13,59.9
3,4,50.96
16,19,0.89
17,22,4.92
16,18,1.79
-25,-7,256.57
-1,0,1.78
16,21,8.05
-1,11,42.92
3,6,3.58
-30,1,102.35
-7,15,25.02
-22,-8,1.78
-25,-11,136.34
-23,-1,3.58
14,33,7.15
15,18,8.04
-8,20,12.52
-16,9,84.94
2,8,1.78
7,15,1.79
-23,-4,343.77
4,19,3.13
23,25,6.26
16,21,0.45
19,27,9.39
-11,1,132.31
-1,0,1.79
-8,9,128.74
-4,23,17.88
-9,-3,3.57
12,18,0.89
-20,-1,76.88
-13,9,22.34
13,17,22.35
-14,-2,8.05
10,28,21.9
15,21,7.16
15,33,2.68
14,15,8.05
-12,1,1.79
11,16,4.47
16,21,10.73
-21,-5,13.41
19,26,54.98
-20,5,40.67
15,17,1.78
-27,-12,146.62
-9,-7,0.89
8,23,16.98
17,29,21
-11,-4,0.89
-24,3,3.58
6,9,0.89
-2,20,26.82
-11,15,151.07
-13,6,46.49
-4,-2,4.47
-5,1,9.38
18,27,4.02
16,32,17.88
20,23,5.37
-6,6,21.01
10,10,7.16
18,21,1.78
19,20,2.68
21,25,0.89
-11,-7,14.32
23,26,48.73
-2,11,0.89
22,29,4.02
19,27,14.76
19,27,41.13
5,14,8.05
-10,7,5.35
13,24,8.05
10,18,0.89
21,31,16.54
14,18,16.1
-3,-2,0.89
-23,-3,143.04
13,18,3.58
19,27,0.89
-12,2,100.57
4,22,9.84
15,22,40.68
24,27,3.13
-1,16,0.89
-4,14,116.68
16,18,3.58
-18,1,1.79
-9,3,9.39
6,24,8.05
4,28,3.13
-23,-11,1.79
-7,-2,4.92
19,30,3.13
18,21,11.63
12,13,1.79
-1,-1,0.89
-10,-7,15.65
-20,11,0.89
-17,-11,1.78
22,23,1.34
11,13,0.89
13,14,1.79
-22,-4,4.92
18,19,1.79
19,25,0.89
24,25,53.19
17,34,3.13
11,23,3.58
21,24,64.38
19,28,24.15
15,17,1.79
-4,19,25.49
-9,1,9.39
-21,6,169.88
19,20,2.23
20,25,1.79
19,33,41.58
-3,20,4.92
24,27,2.68
-11,-1,0.89
16,23,28.61
13,16,61.69
15,15,0.89
0,6,1.78
-9,2,4.92
3,21,4.92
14,25,12.07
-6,-3,1.78
20,20,4.92
0,21,8.05
21,22,1.78
16,24,3.56
16,20,4.02
-4,1,2.23
15,26,4.92
9,21,51.41
26,27,1.78
16,26,28.16
9,28,11.18
22,23,1.78
4,20,3.13
-11,17,4.92
-10,-2,4.92
-13,-4,4.92
7,8,0.89
9,25,196.7
-7,1,0.45
-2,-2,8.04
-14,17,205.63
5,6,0.89
-6,-4,0.89
23,31,12.52
6,11,15.13
-6,3,1.79
2,19,3.13
7,23,22.35
13,16,2.68
0,12,1.79
13,25,7.6
13,25,96.11
-17,-1,1.79
-11,8,4.02
21,24,1.79
-4,-2,3.56
-9,-6,0.89
14,15,53.18
-17,9,211.42
18,24,1.79
-12,-2,5.37
22,23,6.71
-24,-2,1.79
10,28,29.05
0,8,4.92
6,17,1.78
22,26,50.97
9,21,33.08
-25,-12,226.19
-20,-6,8.05
9,15,8.95
15,22,14.31
10,16,2.24
-1,5,8.04
19,29,20.12
2,20,57.22
-23,3,65.71
7,27,118.01
0,2,0.89
9,13,3.13
1,17,138.57
16,22,6.26
8,12,0.89
14,15,0.89
-10,13,398.77
-12,-1,18.78
-16,8,6.71
-20,-13,2.67
-10,7,1.79
25,32,8.05
12,14,0.89
5,11,0.89
-20,-7,48.27
-17,8,5.37
11,26,16.09
-3,-1,6.71
10,25,6.7
10,26,4.92
10,19,1.34
19,32,4.92
20,31,20.12
14,27,8.94
2,3,1.79
-9,-4,1.79
-17,12,10.28
5,34,31.74
-15,2,0.89
-22,-2,302.2
-8,-4,1.79
-22,-10,21.01
-19,-4,12.52
-8,0,1.78
15,22,0.89
18,21,4.02
15,17,0.89
-19,14,7.15
21,33,27.72
20,27,16.09
-22,-11,10.73
-19,8,1.79
19,26,1.79
14,22,25.93
-20,-2,88.96
-8,5,0.89
-18,-14,10.29
-4,9,101.02
6,26,21.9
-15,1,0.89
23,24,0.89
19,21,1.79
24,27,1.78
-18,-14,3.56
-4,0,0.89
-13,13,175.23
-13,9,68.4
13,31,1.79
10,24,22.8
-16,26,55.88
-19,0,107.75
-2,18,97.03
-7,-3,1.79
19,19,0.89
18,20,0.89
-6,-4,11.63
-14,-2,48.28
-4,14,13.42
13,32,3.13
-21,2,0.89
7,10,3.13
-9,2,1.78
23,26,0.89
19,30,13.42
-25,-10,108.63
-11,2,3.56
7,17,17.88
11,26,0.89
-21,-3,249.85
15,17,1.79
-17,-12,16.55
-5,-2,0.89
12,25,198.04
-6,15,4.92
-8,2,3.13
24,31,35.75
-8,6,4.92
-18,-1,0.89
-9,3,111.76
8,16,63.02
-19,2,1.79
0,2,2.68
19,33,3.13
-7,2,2.68
-9,6,7.15
-14,5,1.79
18,26,9.84
11,28,3.13
-8,-4,4.47
-18,-5,7.15
22,29,19.22
1,7,3.13
21,21,0.89
-7,-1,1.34
7,15,15.2
-21,5,12.07
19,30,12.07
-22,-9,7.15
-1,20,61.68
-1,-1,85.41
-21,-9,3.58
-1,13,6.71
-13,5,47.83
-15,-4,5.81
-12,3,38.9
-14,0,1.79
-26,-11,9.84
-2,-2,70.65
18,22,1.79
-12,-7,4.92
-16,1,108.18
19,21,1.79
-19,-13,1.79
20,28,1.78
4,5,1.78
14,31,8.04
12,14,3.12
0,8,8.94
-5,1,12.97
-16,10,27.26
18,20,8.94
7,15,19.67
3,19,0.89
17,25,0.89
13,33,0.89
-12,0,15.19
21,30,8.5
25,26,15.2
-17,18,305.76
7,13,122.04
23,33,12.07
19,25,1.79
17,19,4.47
20,22,4.92
-4,9,104.6
8,27,13.86
2,13,0.89
25,29,4.92
17,20,2.67
17,22,15.2
-3,19,31.74
18,21,3.13
-3,3,1.79
-1,30,0.89
16,27,4.92
9,15,0.89
-6,7,0.89
23,28,16.09
5,17,19.67
-9,3,1.34
5,29,0.89
-25,-4,1.79
12,16,4.45
20,25,3.13
-2,-1,3.58
-18,-3,4.92
-9,8,0.89
23,25,87.19
-1,0,1.79
7,17,7.15
1,29,33.99
25,32,8.94
-18,-5,16.1
10,33,7.6
-6,10,24.58
2,8,2.68
1,22,11.17
-5,0,1.79
12,13,1.34
12,33,34.88
8,13,5.81
8,26,28.62
-5,16,62.59
9,12,15.21
-6,10,38.44
-16,4,356.26
-9,16,13.86
24,27,12.97
-17,3,73.76
-10,-3,6.26
22,27,0.89
18,20,3.13
-1,17,31.29
13,27,0.89
15,21,3.58
5,15,4.47
-14,8,57.21
0,19,16.08
-10,1,0.89
20,32,12.07
-18,-8,4.02
13,29,3.13
-11,-4,45.15
6,11,0.89
8,14,0.45
22,23,1.79
-13,2,32.64
-6,-1,0.89
21,23,0.89
-21,-1,105.94
-11,5,34.86
-2,3,1.79
16,21,1.79
8,14,0.89
8,15,8.05
-12,-10,3.58
16,26,17
-12,-8,5.37
-21,1,193.55
-11,5,83.57
20,29,1.79
-5,-4,34.45
-7,-2,2.23
13,15,4.92
14,32,6.26
5,13,12.07
11,17,3.13
11,17,1.78
13,17,0.89
11,22,8.05
-11,-5,3.57
-27,10,187.28
15,18,1.78
6,11,0.89
12,17,0.89
22,25,5.37
6,7,2.68
9,29,53.21
-5,3,0.45
12,18,0.89
10,14,12.52
-10,-5,8.5
10,22,13.41
-11,19,63.48
7,10,25.93
-23,7,52.73
5,19,1.34
-2,26,5.81
19,21,0.89
21,26,19.67
-15,-4,2.67
-7,-3,0.89
18,21,25.05
-28,-2,37.55
12,17,16.1
-2,27,9.39
-28,-12,163.14
-12,-9,1.79
21,26,1.78
13,25,9.84
3,8,35.31
19,21,14.76
20,23,0.89
7,9,2.67
-21,-5,42.92
-16,7,17.88
22,27,10.74
8,29,46.5
24,27,65.73
-15,-1,195.79
-12,10,77.33
-19,-4,211.44
-22,1,117.12
-9,-2,3.58
-12,1,1.79
17,26,1.79
-18,-5,6.26
15,29,76.9
-5,10,15.65
-24,5,3.13
-7,4,4.02
-5,-1,19.67
-7,17,8.05
-17,12,13.41
-23,2,18.77
7,11,0.89
24,27,12.52
-8,11,0.89
12,24,24.13
4,7,43.37
18,20,32.64
19,22,47.83
16,22,4.92
-3,1,0.89
-22,-15,1.78
-15,2,8.04
6,13,39.32
-5,0,0.89
-16,27,29.06
-8,-1,0.89
-7,17,126.52
2,5,1.79
-12,-3,5.36
-10,5,1.79
7,10,3.58
-8,-4,9.84
12,17,84.49
13,28,3.58
4,4,0.45
-26,-2,137.23
-3,2,12.97
-15,13,4.92
27,28,12.97
-20,5,249.47
1,2,0.89
15,33,1.79
-10,14,389.83
-1,18,23.69
-10,-3,2.23
-9,-5,4.92
-15,3,0.89
5,10,0.89
-5,-2,1.79
-19,9,30.85
14,27,4.92
9,12,1.79
-4,-3,0.89
19,20,0.89
-14,6,1.78
-15,-6,2.67
-1,18,8.94
-22,-4,295.02
-13,-8,1.79
15,29,3.58
-2,13,1.79
16,31,18.33
-19,7,3.13
-8,13,61.68
22,27,3.13
-5,-1,0.89
15,17,0.89
13,18,24.59
19,21,0.45
-18,2,1.79
20,22,0.89
-4,-1,288.04
3,7,50.52
-18,-7,4.92
1,5,0.9
-24,7,14.75
-21,5,134.1
-10,16,60.79
14,28,3.13
-9,1,1.79
12,21,2.68
-13,11,0.89
22,27,47.39
17,20,1.79
-21,1,4.92
-9,-3,4.92
-7,-5,1.79
-21,-7,196.67
-3,19,49.62
19,30,1.78
-33,-4,29.95
-19,3,129.6
17,21,1.78
-22,-12,3.13
21,27,0.89
18,22,1.78
8,14,1.34
22,27,22.79
20,24,1.79
-12,-8,2.23
3,18,34.42
-10,2,1.79
-7,11,36.22
0,12,0.89
12,16,1.78
-1,4,0.89
15,20,0.45
-16,7,15.65
-22,-10,12.96
-19,-2,294.13
2,6,0.45
13,17,0.89
-26,-8,228.42
10,15,3.13
16,22,17.44
-2,22,15.65
19,25,20.57
14,32,3.58
15,26,1.78
18,32,21.45
7,9,0.89
18,26,25.48
4,8,8.05
21,32,3.58
-21,-2,14.75
-14,3,8.05
5,16,4.02
0,20,1.78
-23,-8,3.57
-26,-12,11.17
-2,3,0.89
12,17,16.54
-25,-11,134.55
-6,18,20.56
-2,24,1.79
-4,12,1.79
14,16,8.5
-6,-1,1.79
10,17,39.33
19,22,4.92
16,18,0.89
-14,0,37.11
-2,-1,1.79
14,17,3.12
19,19,3.58
17,20,5.81
-21,3,4.02
-11,9,138.57
0,2,0.89
1,2,8.5
21,24,6.25
13,34,1.79
-11,-5,1.78
24,25,21.01
12,18,30.4
4,20,1.79
-8,13,58.57
-6,1,4.92
-28,-3,164.07
4,9,4.92
16,27,12.52
-13,4,72.87
6,21,6.71
15,21,3.58
12,14,1.79
3,6,1.78
-1,0,9.84
14,15,2.67
-14,-11,0.89
-11,9,7.15
7,11,3.13
7,15,1.78
-16,-2,17.88
13,27,8.05
1,9,1.78
-5,8,0.89
16,28,4.92
-25,-4,71.07
23,24,0.89
10,16,4.9
-9,-8,3.58
19,22,0.89
18,28,1.79
-6,4,0.89
-6,4,1.79
-6,5,1.34
-12,-1,6.71
9,10,0.89
4,26,1.79
1,2,18.32
14,15,12.97
-20,-3,1.79
16,26,59.89
17,22,1.79
-24,-11,122.05
17,25,1.79
-8,-4,2.67
10,23,0.89
-24,-8,88.06
20,21,1.78
12,26,19.21
-10,6,5.37
-8,-6,0.89
-16,-5,1.79
-1,10,0.89
-2,13,18.79
18,21,4.92
-25,1,94.77
16,20,1.79
17,27,16.54
-1,9,132.8
12,21,1.79
22,29,34.86
16,20,2.67
13,26,3.13
10,13,0.89
-15,-1,186.85
7,24,14.3
16,28,1.79
18,20,2.67
-14,-1,33.97
-2,20,12.07
18,25,4.92
20,23,2.68
-4,4,4.92
-21,-1,80.48
-9,4,1.78
-4,-2,2.68
-10,20,3.13
-5,-3,5.37
19,21,3.58
22,24,0.89
0,12,0.89
17,26,15.2
-2,12,2.68
15,16,1.79
10,22,51.85
11,22,5.37
19,25,3.13
4,13,3.57
12,30,5.37
10,19,1.79
-6,1,3.56
-4,-1,268.35
9,13,1.78
27,28,19.23
11,27,26.37
25,27,3.58
0,15,1.79
-16,-2,8.48
15,21,11.17
11,14,3.13
16,28,30.83
21,27,5.37
-8,-3,3.57
-23,-4,0.89
17,19,2.23
0,16,276.7
13,26,11.18
7,8,10.74
12,16,0.89
19,23,10.28
22,30,3.13
-8,9,3.58
-9,-6,1.78
-6,-1,138.09
13,22,94.78
13,17,1.79
-23,-3,3.13
-7,6,0.89
9,17,0.89
2,4,76.46
15,23,0.89
1,4,1.79
14,19,38
25,31,15.2
-14,14,19.67
-1,1,0.89
-2,5,0.89
18,27,59
22,27,6.71
15,18,0.89
-25,1,107.73
-4,7,23.69
-17,1,154.22
16,18,1.34
8,11,0.89
7,16,26.82
-14,7,12.07
6,22,1.79
-9,5,1.79
11,24,115.34
-18,-4,0.45
6,24,15.2
-13,-4,1.34
2,4,0.89
6,22,9.84
20,26,25.48
13,23,89.41
5,23,0.89
17,20,1.78
20,22,3.13
-23,-2,49.62
6,17,56.76
13,22,1.79
-9,-4,8.94
20,22,0.89
8,15,4.02
15,20,42.48
18,30,0.89
-13,-4,40.24
9,27,38.45
15,17,1.79
11,14,3.13
-13,-3,88.51
-5,16,1.79
-8,12,1.79
-23,-1,34.43
-9,1,1.34
17,24,1.79
22,25,0.89
17,29,18.77
14,27,50.95
-14,-2,2.67
-2,1,5.37
19,20,0.89
16,27,18.32
-19,-10,445.66
-21,-7,4.02
-7,-2,1.79
-5,-4,7.15
23,27,3.58
-2,25,0.89
14,16,27.26
24,26,1.78
22,27,29.97
8,9,0.89
18,20,1.79
5,26,2.67
