"No","year","month","day","hour","pm2.5","DEWP","TEMP","PRES","cbwd","Iws","Is","Ir","datetime"
35,2010,1,2,10,140,-7,-5,1026,"SE",17.43,1,0,2010-01-02 10:00:00
36,2010,1,2,11,152,-8,-5,1026,"SE",20.56,0,0,2010-01-02 11:00:00
37,2010,1,2,12,148,-8,-5,1026,"SE",23.69,0,0,2010-01-02 12:00:00
38,2010,1,2,13,164,-8,-5,1025,"SE",27.71,0,0,2010-01-02 13:00:00
39,2010,1,2,14,158,-9,-5,1025,"SE",31.73,0,0,2010-01-02 14:00:00
40,2010,1,2,15,154,-9,-5,1025,"SE",35.75,0,0,2010-01-02 15:00:00
41,2010,1,2,16,159,-9,-5,1026,"SE",37.54,0,0,2010-01-02 16:00:00
42,2010,1,2,17,164,-8,-5,1027,"SE",39.33,0,0,2010-01-02 17:00:00
43,2010,1,2,18,170,-8,-5,1027,"SE",42.46,0,0,2010-01-02 18:00:00
44,2010,1,2,19,149,-8,-5,1028,"SE",44.25,0,0,2010-01-02 19:00:00
45,2010,1,2,20,154,-7,-5,1028,"SE",46.04,0,0,2010-01-02 20:00:00
46,2010,1,2,21,164,-7,-5,1027,"SE",49.17,1,0,2010-01-02 21:00:00
47,2010,1,2,22,156,-8,-6,1028,"SE",52.3,2,0,2010-01-02 22:00:00
48,2010,1,2,23,126,-8,-6,1027,"SE",55.43,3,0,2010-01-02 23:00:00
49,2010,1,3,0,90,-7,-6,1027,"SE",58.56,4,0,2010-01-03 00:00:00
50,2010,1,3,1,63,-8,-6,1026,"SE",61.69,5,0,2010-01-03 01:00:00
51,2010,1,3,2,65,-8,-7,1026,"SE",65.71,6,0,2010-01-03 02:00:00
52,2010,1,3,3,55,-8,-7,1025,"SE",68.84,7,0,2010-01-03 03:00:00
53,2010,1,3,4,65,-8,-7,1024,"SE",72.86,8,0,2010-01-03 04:00:00
54,2010,1,3,5,83,-9,-8,1024,"SE",76.88,9,0,2010-01-03 05:00:00
55,2010,1,3,6,91,-10,-8,1024,"SE",80.9,10,0,2010-01-03 06:00:00
56,2010,1,3,7,86,-10,-9,1024,"SE",84.92,11,0,2010-01-03 07:00:00
57,2010,1,3,8,82,-10,-9,1024,"SE",89.84,12,0,2010-01-03 08:00:00
58,2010,1,3,9,86,-11,-9,1023,"SE",93.86,13,0,2010-01-03 09:00:00
59,2010,1,3,10,78,-11,-9,1023,"SE",97.88,15,0,2010-01-03 10:00:00
60,2010,1,3,11,98,-11,-9,1022,"SE",102.8,16,0,2010-01-03 11:00:00
61,2010,1,3,12,107,-11,-9,1021,"SE",105.93,17,0,2010-01-03 12:00:00
62,2010,1,3,13,90,-11,-9,1020,"SE",111.74,19,0,2010-01-03 13:00:00
63,2010,1,3,14,96,-11,-9,1020,"SE",116.66,20,0,2010-01-03 14:00:00
64,2010,1,3,15,95,-11,-9,1020,"SE",121.58,21,0,2010-01-03 15:00:00
65,2010,1,3,16,86,-11,-9,1020,"SE",124.71,22,0,2010-01-03 16:00:00
66,2010,1,3,17,70,-11,-9,1020,"SE",127.84,23,0,2010-01-03 17:00:00
67,2010,1,3,18,61,-11,-9,1021,"cv",0.89,24,0,2010-01-03 18:00:00
68,2010,1,3,19,53,-11,-9,1022,"cv",1.78,25,0,2010-01-03 19:00:00
69,2010,1,3,20,71,-10,-9,1022,"NW",4.02,26,0,2010-01-03 20:00:00
70,2010,1,3,21,72,-11,-10,1023,"NW",7.15,27,0,2010-01-03 21:00:00
71,2010,1,3,22,76,-11,-9,1023,"NW",11.17,0,0,2010-01-03 22:00:00
72,2010,1,3,23,73,-12,-11,1023,"NW",14.3,0,0,2010-01-03 23:00:00
73,2010,1,4,0,79,-14,-12,1023,"NW",16.09,0,0,2010-01-04 00:00:00
74,2010,1,4,1,58,-16,-9,1023,"NW",21.9,0,0,2010-01-04 01:00:00
75,2010,1,4,2,25,-17,-10,1024,"NW",29.95,0,0,2010-01-04 02:00:00
76,2010,1,4,3,26,-18,-11,1024,"NW",39.78,0,0,2010-01-04 03:00:00
77,2010,1,4,4,28,-19,-11,1025,"NW",48.72,0,0,2010-01-04 04:00:00
78,2010,1,4,5,26,-20,-12,1026,"NW",55.87,0,0,2010-01-04 05:00:00
79,2010,1,4,6,20,-21,-12,1027,"NW",64.81,0,0,2010-01-04 06:00:00
80,2010,1,4,7,29,-21,-13,1027,"NW",73.75,0,0,2010-01-04 07:00:00
81,2010,1,4,8,26,-22,-13,1028,"NW",80.9,0,0,2010-01-04 08:00:00
82,2010,1,4,9,27,-22,-13,1029,"NW",90.73,0,0,2010-01-04 09:00:00
83,2010,1,4,10,27,-22,-12,1030,"NW",100.56,0,0,2010-01-04 10:00:00
84,2010,1,4,11,25,-23,-12,1031,"NW",108.61,0,0,2010-01-04 11:00:00
85,2010,1,4,12,29,-21,-11,1030,"NW",117.55,0,0,2010-01-04 12:00:00
86,2010,1,4,13,32,-20,-10,1030,"NW",127.38,0,0,2010-01-04 13:00:00
87,2010,1,4,14,28,-21,-10,1030,"NW",136.32,0,0,2010-01-04 14:00:00
88,2010,1,4,15,29,-21,-9,1030,"NW",145.26,0,0,2010-01-04 15:00:00
89,2010,1,4,16,30,-21,-9,1031,"NW",152.41,0,0,2010-01-04 16:00:00
90,2010,1,4,17,30,-20,-11,1032,"NW",159.56,0,0,2010-01-04 17:00:00
91,2010,1,4,18,28,-23,-11,1032,"NW",165.37,0,0,2010-01-04 18:00:00
92,2010,1,4,19,26,-21,-12,1033,"NW",171.18,0,0,2010-01-04 19:00:00
93,2010,1,4,20,31,-24,-12,1034,"NW",180.12,0,0,2010-01-04 20:00:00
94,2010,1,4,21,33,-24,-13,1034,"NW",187.27,0,0,2010-01-04 21:00:00
95,2010,1,4,22,29,-24,-13,1035,"NW",195.32,0,0,2010-01-04 22:00:00
96,2010,1,4,23,31,-26,-15,1035,"NW",198.45,0,0,2010-01-04 23:00:00
97,2010,1,5,0,30,-26,-17,1035,"NW",201.58,0,0,2010-01-05 00:00:00
98,2010,1,5,1,34,-26,-18,1035,"NW",205.6,0,0,2010-01-05 01:00:00
99,2010,1,5,2,27,-26,-19,1035,"NW",208.73,0,0,2010-01-05 02:00:00
100,2010,1,5,3,25,-27,-18,1035,"NW",213.65,0,0,2010-01-05 03:00:00
101,2010,1,5,4,28,-27,-19,1035,"NW",218.57,0,0,2010-01-05 04:00:00
102,2010,1,5,5,28,-27,-16,1034,"NE",4.92,0,0,2010-01-05 05:00:00
103,2010,1,5,6,27,-26,-16,1035,"NE",8.05,0,0,2010-01-05 06:00:00
104,2010,1,5,7,27,-27,-16,1034,"NE",13.86,0,0,2010-01-05 07:00:00
105,2010,1,5,8,27,-26,-16,1035,"NE",18.78,0,0,2010-01-05 08:00:00
106,2010,1,5,9,29,-26,-15,1035,"NE",24.59,0,0,2010-01-05 09:00:00
107,2010,1,5,10,36,-25,-14,1035,"NE",29.51,0,0,2010-01-05 10:00:00
108,2010,1,5,11,30,-25,-13,1035,"NE",34.43,0,0,2010-01-05 11:00:00
109,2010,1,5,12,27,-25,-12,1034,"NE",39.35,0,0,2010-01-05 12:00:00
110,2010,1,5,13,39,-24,-11,1032,"NE",41.14,0,0,2010-01-05 13:00:00
111,2010,1,5,14,41,-22,-11,1032,"cv",0.89,0,0,2010-01-05 14:00:00
112,2010,1,5,15,33,-23,-11,1031,"NW",1.79,0,0,2010-01-05 15:00:00
113,2010,1,5,16,50,-24,-11,1031,"NW",3.58,0,0,2010-01-05 16:00:00
114,2010,1,5,17,56,-23,-11,1031,"NW",5.37,0,0,2010-01-05 17:00:00
115,2010,1,5,18,59,-23,-11,1032,"NW",7.16,0,0,2010-01-05 18:00:00
116,2010,1,5,19,60,-22,-13,1033,"NW",10.29,0,0,2010-01-05 19:00:00
117,2010,1,5,20,84,-22,-12,1033,"NW",13.42,0,0,2010-01-05 20:00:00
118,2010,1,5,21,106,-24,-18,1033,"NW",16.55,0,0,2010-01-05 21:00:00
119,2010,1,5,22,66,-22,-13,1034,"NW",20.57,0,0,2010-01-05 22:00:00
120,2010,1,5,23,50,-22,-16,1033,"NW",23.7,0,0,2010-01-05 23:00:00
121,2010,1,6,0,56,-25,-17,1033,"NW",26.83,0,0,2010-01-06 00:00:00
122,2010,1,6,1,77,-25,-14,1033,"NE",4.02,0,0,2010-01-06 01:00:00
123,2010,1,6,2,50,-26,-14,1034,"NE",8.04,0,0,2010-01-06 02:00:00
124,2010,1,6,3,44,-26,-14,1033,"NE",13.85,0,0,2010-01-06 03:00:00
125,2010,1,6,4,27,-26,-14,1033,"NE",17.87,0,0,2010-01-06 04:00:00
126,2010,1,6,5,28,-26,-14,1033,"NE",23.68,0,0,2010-01-06 05:00:00
127,2010,1,6,6,21,-26,-14,1033,"NE",28.6,0,0,2010-01-06 06:00:00
128,2010,1,6,7,25,-26,-15,1034,"NE",33.52,0,0,2010-01-06 07:00:00
129,2010,1,6,8,20,-26,-14,1034,"NE",39.33,0,0,2010-01-06 08:00:00
130,2010,1,6,9,29,-25,-13,1035,"NE",44.25,0,0,2010-01-06 09:00:00
131,2010,1,6,10,34,-25,-12,1035,"NE",50.06,0,0,2010-01-06 10:00:00
132,2010,1,6,11,42,-24,-11,1035,"NE",54.98,0,0,2010-01-06 11:00:00
133,2010,1,6,12,28,-24,-10,1034,"NE",59,0,0,2010-01-06 12:00:00
134,2010,1,6,13,36,-22,-10,1033,"NW",4.02,0,0,2010-01-06 13:00:00
135,2010,1,6,14,48,-22,-9,1033,"NW",5.81,0,0,2010-01-06 14:00:00
136,2010,1,6,15,49,-22,-8,1033,"cv",0.89,0,0,2010-01-06 15:00:00
137,2010,1,6,16,52,-22,-8,1033,"NW",1.79,0,0,2010-01-06 16:00:00
138,2010,1,6,17,56,-21,-9,1033,"NW",3.58,0,0,2010-01-06 17:00:00
139,2010,1,6,18,96,-22,-9,1033,"NW",5.37,0,0,2010-01-06 18:00:00
140,2010,1,6,19,75,-22,-14,1034,"cv",0.89,0,0,2010-01-06 19:00:00
141,2010,1,6,20,105,-22,-12,1035,"NW",1.79,0,0,2010-01-06 20:00:00
142,2010,1,6,21,132,-21,-14,1034,"NW",3.58,0,0,2010-01-06 21:00:00
143,2010,1,6,22,93,-22,-16,1035,"NW",5.37,0,0,2010-01-06 22:00:00
144,2010,1,6,23,131,-21,-16,1035,"NW",7.16,0,0,2010-01-06 23:00:00
145,2010,1,7,0,127,-21,-16,1035,"NW",8.95,0,0,2010-01-07 00:00:00
146,2010,1,7,1,130,-21,-16,1035,"cv",0.45,0,0,2010-01-07 01:00:00
147,2010,1,7,2,43,-22,-18,1036,"cv",1.34,0,0,2010-01-07 02:00:00
148,2010,1,7,3,37,-23,-15,1036,"NW",4.02,0,0,2010-01-07 03:00:00
149,2010,1,7,4,30,-24,-16,1035,"NW",7.15,0,0,2010-01-07 04:00:00
150,2010,1,7,5,28,-25,-15,1035,"NW",10.28,0,0,2010-01-07 05:00:00
151,2010,1,7,6,24,-24,-15,1035,"NW",14.3,0,0,2010-01-07 06:00:00
152,2010,1,7,7,23,-25,-13,1036,"NE",4.92,0,0,2010-01-07 07:00:00
153,2010,1,7,8,24,-24,-14,1036,"NW",4.02,0,0,2010-01-07 08:00:00
154,2010,1,7,9,27,-23,-12,1036,"NW",8.94,0,0,2010-01-07 09:00:00
155,2010,1,7,10,40,-22,-11,1036,"NW",12.96,0,0,2010-01-07 10:00:00
156,2010,1,7,11,42,-20,-10,1036,"NW",16.09,0,0,2010-01-07 11:00:00
157,2010,1,7,12,42,-21,-9,1035,"NW",19.22,0,0,2010-01-07 12:00:00
158,2010,1,7,13,55,-21,-8,1034,"NW",21.01,0,0,2010-01-07 13:00:00
159,2010,1,7,14,52,-20,-7,1033,"NW",22.8,0,0,2010-01-07 14:00:00
160,2010,1,7,15,51,-20,-7,1032,"NW",24.59,0,0,2010-01-07 15:00:00
161,2010,1,7,16,57,-18,-8,1032,"NW",26.38,0,0,2010-01-07 16:00:00
162,2010,1,7,17,50,-19,-9,1032,"NW",28.17,0,0,2010-01-07 17:00:00
163,2010,1,7,18,54,-19,-11,1032,"NE",0.89,0,0,2010-01-07 18:00:00
164,2010,1,7,19,67,-18,-11,1033,"NW",1.79,0,0,2010-01-07 19:00:00
165,2010,1,7,20,106,-19,-15,1032,"NE",1.79,0,0,2010-01-07 20:00:00
166,2010,1,7,21,159,-19,-14,1032,"cv",0.45,0,0,2010-01-07 21:00:00
167,2010,1,7,22,198,-21,-14,1032,"cv",1.34,0,0,2010-01-07 22:00:00
168,2010,1,7,23,190,-21,-16,1032,"cv",2.23,0,0,2010-01-07 23:00:00
169,2010,1,8,0,210,-21,-17,1031,"NW",1.79,0,0,2010-01-08 00:00:00
170,2010,1,8,1,195,-19,-16,1031,"NW",3.58,0,0,2010-01-08 01:00:00
171,2010,1,8,2,275,-20,-16,1031,"NE",0.89,0,0,2010-01-08 02:00:00
172,2010,1,8,3,164,-19,-15,1030,"SE",0.89,0,0,2010-01-08 03:00:00
173,2010,1,8,4,110,-18,-15,1030,"cv",0.45,0,0,2010-01-08 04:00:00
174,2010,1,8,5,100,-18,-15,1029,"cv",1.34,0,0,2010-01-08 05:00:00
175,2010,1,8,6,81,-18,-15,1029,"NW",1.79,0,0,2010-01-08 06:00:00
176,2010,1,8,7,71,-16,-13,1029,"NE",0.89,0,0,2010-01-08 07:00:00
177,2010,1,8,8,66,-16,-12,1029,"SE",0.89,0,0,2010-01-08 08:00:00
178,2010,1,8,9,92,-16,-12,1030,"SE",1.78,0,0,2010-01-08 09:00:00
179,2010,1,8,10,135,-17,-10,1030,"NE",0.89,0,0,2010-01-08 10:00:00
180,2010,1,8,11,155,-16,-10,1029,"cv",0.89,0,0,2010-01-08 11:00:00
181,2010,1,8,12,198,-16,-9,1028,"SE",3.13,0,0,2010-01-08 12:00:00
182,2010,1,8,13,250,-15,-8,1026,"SE",4.92,0,0,2010-01-08 13:00:00
183,2010,1,8,14,200,-16,-8,1026,"cv",0.89,0,0,2010-01-08 14:00:00
184,2010,1,8,15,231,-16,-8,1025,"cv",1.78,0,0,2010-01-08 15:00:00
185,2010,1,8,16,250,-16,-8,1025,"cv",2.67,0,0,2010-01-08 16:00:00
186,2010,1,8,17,212,-17,-8,1025,"SE",0.89,0,0,2010-01-08 17:00:00
187,2010,1,8,18,219,-17,-9,1026,"cv",0.45,0,0,2010-01-08 18:00:00
188,2010,1,8,19,227,-17,-11,1026,"cv",1.34,0,0,2010-01-08 19:00:00
189,2010,1,8,20,226,-17,-12,1026,"cv",1.79,0,0,2010-01-08 20:00:00
190,2010,1,8,21,225,-18,-14,1027,"NW",1.79,0,0,2010-01-08 21:00:00
191,2010,1,8,22,168,-16,-9,1027,"NW",4.92,0,0,2010-01-08 22:00:00
192,2010,1,8,23,169,-16,-11,1027,"NW",6.71,0,0,2010-01-08 23:00:00
193,2010,1,9,0,165,-17,-13,1027,"cv",0.89,0,0,2010-01-09 00:00:00
194,2010,1,9,1,159,-17,-13,1027,"NW",3.13,0,0,2010-01-09 01:00:00
195,2010,1,9,2,167,-17,-14,1027,"NW",4.92,0,0,2010-01-09 02:00:00
196,2010,1,9,3,196,-17,-15,1027,"NW",8.05,0,0,2010-01-09 03:00:00
197,2010,1,9,4,169,-17,-13,1027,"NW",9.84,0,0,2010-01-09 04:00:00
198,2010,1,9,5,155,-19,-16,1027,"NW",13.86,0,0,2010-01-09 05:00:00
199,2010,1,9,6,119,-18,-15,1027,"NW",17.88,0,0,2010-01-09 06:00:00
200,2010,1,9,7,106,-19,-15,1027,"NW",21.9,0,0,2010-01-09 07:00:00
201,2010,1,9,8,93,-18,-14,1028,"NW",25.92,0,0,2010-01-09 08:00:00
202,2010,1,9,9,84,-18,-9,1029,"NE",5.81,0,0,2010-01-09 09:00:00
203,2010,1,9,10,73,-17,-7,1029,"NE",11.62,0,0,2010-01-09 10:00:00
204,2010,1,9,11,66,-17,-6,1030,"NE",17.43,0,0,2010-01-09 11:00:00
205,2010,1,9,12,40,-16,-6,1029,"NE",23.24,0,0,2010-01-09 12:00:00
206,2010,1,9,13,49,-16,-5,1029,"NE",28.16,0,0,2010-01-09 13:00:00
207,2010,1,9,14,50,-15,-4,1029,"NE",33.08,0,0,2010-01-09 14:00:00
208,2010,1,9,15,49,-14,-4,1028,"NE",37.1,0,0,2010-01-09 15:00:00
209,2010,1,9,16,41,-15,-4,1029,"NE",38.89,0,0,2010-01-09 16:00:00
210,2010,1,9,17,37,-15,-4,1030,"NW",1.79,0,0,2010-01-09 17:00:00
211,2010,1,9,18,45,-15,-7,1030,"NE",3.13,0,0,2010-01-09 18:00:00
212,2010,1,9,19,44,-15,-6,1031,"NW",3.13,0,0,2010-01-09 19:00:00
213,2010,1,9,20,54,-15,-7,1032,"NW",4.92,0,0,2010-01-09 20:00:00
214,2010,1,9,21,50,-15,-6,1032,"NE",3.13,0,0,2010-01-09 21:00:00
215,2010,1,9,22,47,-15,-8,1033,"cv",0.45,0,0,2010-01-09 22:00:00
216,2010,1,9,23,66,-15,-8,1033,"cv",0.9,0,0,2010-01-09 23:00:00
217,2010,1,10,0,75,-15,-11,1033,"NW",0.89,0,0,2010-01-10 00:00:00
218,2010,1,10,1,82,-17,-13,1033,"NW",1.78,0,0,2010-01-10 01:00:00
219,2010,1,10,2,66,-17,-12,1033,"NW",4.91,0,0,2010-01-10 02:00:00
220,2010,1,10,3,83,-17,-13,1033,"NW",8.04,0,0,2010-01-10 03:00:00
221,2010,1,10,4,62,-19,-14,1032,"NW",9.83,0,0,2010-01-10 04:00:00
222,2010,1,10,5,40,-18,-13,1032,"NW",12.96,0,0,2010-01-10 05:00:00
223,2010,1,10,6,23,-19,-13,1032,"NW",16.09,0,0,2010-01-10 06:00:00
224,2010,1,10,7,25,-19,-14,1033,"NW",19.22,0,0,2010-01-10 07:00:00
225,2010,1,10,8,27,-19,-14,1034,"NW",22.35,0,0,2010-01-10 08:00:00
226,2010,1,10,9,35,-17,-12,1033,"NW",24.14,0,0,2010-01-10 09:00:00
227,2010,1,10,10,50,-16,-7,1033,"NE",4.02,0,0,2010-01-10 10:00:00
228,2010,1,10,11,70,-15,-7,1033,"NW",3.13,0,0,2010-01-10 11:00:00
229,2010,1,10,12,75,-15,-7,1032,"NW",6.26,0,0,2010-01-10 12:00:00
230,2010,1,10,13,58,-14,-6,1031,"NW",9.39,0,0,2010-01-10 13:00:00
231,2010,1,10,14,70,-14,-6,1031,"NW",12.52,0,0,2010-01-10 14:00:00
232,2010,1,10,15,68,-13,-5,1030,"NW",14.31,0,0,2010-01-10 15:00:00
233,2010,1,10,16,71,-14,-5,1031,"NW",16.1,0,0,2010-01-10 16:00:00
234,2010,1,10,17,88,-14,-6,1031,"NW",19.23,0,0,2010-01-10 17:00:00
235,2010,1,10,18,84,-13,-7,1032,"NW",23.25,0,0,2010-01-10 18:00:00
236,2010,1,10,19,83,-15,-6,1032,"NW",27.27,0,0,2010-01-10 19:00:00
237,2010,1,10,20,66,-15,-6,1033,"NW",30.4,0,0,2010-01-10 20:00:00
238,2010,1,10,21,27,-15,-4,1034,"NW",35.32,0,0,2010-01-10 21:00:00
239,2010,1,10,22,24,-16,-4,1034,"NW",44.26,0,0,2010-01-10 22:00:00
240,2010,1,10,23,22,-17,-5,1035,"NW",52.31,0,0,2010-01-10 23:00:00
241,2010,1,11,0,23,-17,-6,1035,"NW",60.36,0,0,2010-01-11 00:00:00
242,2010,1,11,1,27,-17,-8,1035,"cv",0.89,0,0,2010-01-11 01:00:00
243,2010,1,11,2,23,-19,-11,1036,"NW",4.02,0,0,2010-01-11 02:00:00
244,2010,1,11,3,17,-20,-11,1036,"NW",8.94,0,0,2010-01-11 03:00:00
245,2010,1,11,4,17,-21,-11,1035,"NE",4.02,0,0,2010-01-11 04:00:00
246,2010,1,11,5,16,-22,-12,1035,"NW",3.13,0,0,2010-01-11 05:00:00
247,2010,1,11,6,16,-22,-12,1035,"NE",4.92,0,0,2010-01-11 06:00:00
248,2010,1,11,7,20,-22,-13,1036,"NW",5.81,0,0,2010-01-11 07:00:00
249,2010,1,11,8,20,-22,-9,1036,"NW",13.86,0,0,2010-01-11 08:00:00
250,2010,1,11,9,18,-22,-10,1036,"NW",21.91,0,0,2010-01-11 09:00:00
251,2010,1,11,10,25,-22,-9,1036,"NW",29.06,0,0,2010-01-11 10:00:00
252,2010,1,11,11,26,-21,-9,1036,"NW",33.08,0,0,2010-01-11 11:00:00
253,2010,1,11,12,27,-20,-6,1035,"NW",42.02,0,0,2010-01-11 12:00:00
254,2010,1,11,13,28,-19,-5,1034,"NW",50.96,0,0,2010-01-11 13:00:00
255,2010,1,11,14,15,-19,-5,1033,"NW",59.01,0,0,2010-01-11 14:00:00
256,2010,1,11,15,24,-20,-5,1033,"NW",66.16,0,0,2010-01-11 15:00:00
257,2010,1,11,16,13,-20,-5,1032,"NW",71.97,0,0,2010-01-11 16:00:00
258,2010,1,11,17,13,-20,-5,1033,"NW",76.89,0,0,2010-01-11 17:00:00
259,2010,1,11,18,13,-20,-7,1033,"NW",81.81,0,0,2010-01-11 18:00:00
260,2010,1,11,19,17,-22,-7,1033,"NW",85.83,0,0,2010-01-11 19:00:00
261,2010,1,11,20,20,-22,-8,1033,"NW",89.85,0,0,2010-01-11 20:00:00
262,2010,1,11,21,27,-23,-10,1033,"NW",91.64,0,0,2010-01-11 21:00:00
263,2010,1,11,22,20,-23,-13,1033,"NW",93.43,0,0,2010-01-11 22:00:00
264,2010,1,11,23,15,-22,-12,1032,"cv",0.89,0,0,2010-01-11 23:00:00
265,2010,1,12,0,21,-22,-15,1031,"cv",1.78,0,0,2010-01-12 00:00:00
266,2010,1,12,1,21,-22,-14,1031,"NE",1.79,0,0,2010-01-12 01:00:00
267,2010,1,12,2,37,-22,-14,1031,"NW",0.89,0,0,2010-01-12 02:00:00
268,2010,1,12,3,26,-24,-18,1030,"NE",1.79,0,0,2010-01-12 03:00:00
269,2010,1,12,4,15,-24,-13,1030,"NE",3.58,0,0,2010-01-12 04:00:00
270,2010,1,12,5,9,-25,-14,1030,"NW",3.13,0,0,2010-01-12 05:00:00
271,2010,1,12,6,11,-24,-14,1030,"NW",7.15,0,0,2010-01-12 06:00:00
272,2010,1,12,7,11,-25,-12,1030,"NW",12.96,0,0,2010-01-12 07:00:00
273,2010,1,12,8,16,-26,-14,1030,"NW",16.98,0,0,2010-01-12 08:00:00
274,2010,1,12,9,13,-25,-12,1031,"NW",21,0,0,2010-01-12 09:00:00
275,2010,1,12,10,15,-25,-11,1031,"NW",26.81,0,0,2010-01-12 10:00:00
276,2010,1,12,11,21,-24,-11,1030,"NW",35.75,0,0,2010-01-12 11:00:00
277,2010,1,12,12,24,-23,-11,1029,"NW",47.82,0,0,2010-01-12 12:00:00
278,2010,1,12,13,22,-22,-11,1029,"NW",63.02,0,0,2010-01-12 13:00:00
279,2010,1,12,14,22,-23,-11,1029,"NW",75.98,0,0,2010-01-12 14:00:00
280,2010,1,12,15,22,-22,-11,1029,"NW",88.05,0,0,2010-01-12 15:00:00
281,2010,1,12,16,19,-23,-11,1030,"NW",101.01,0,0,2010-01-12 16:00:00
282,2010,1,12,17,23,-24,-11,1030,"NW",109.06,0,0,2010-01-12 17:00:00
283,2010,1,12,18,25,-24,-11,1032,"NW",118,0,0,2010-01-12 18:00:00
284,2010,1,12,19,25,-23,-11,1032,"NW",126.05,0,0,2010-01-12 19:00:00
285,2010,1,12,20,31,-23,-12,1032,"NW",134.1,0,0,2010-01-12 20:00:00
286,2010,1,12,21,25,-24,-12,1033,"NW",142.15,0,0,2010-01-12 21:00:00
287,2010,1,12,22,22,-23,-12,1033,"NW",150.2,0,0,2010-01-12 22:00:00
288,2010,1,12,23,22,-23,-12,1034,"NW",160.03,0,0,2010-01-12 23:00:00
289,2010,1,13,0,15,-24,-12,1034,"NW",169.86,0,0,2010-01-13 00:00:00
290,2010,1,13,1,16,-24,-12,1033,"NW",178.8,0,0,2010-01-13 01:00:00
291,2010,1,13,2,11,-25,-12,1033,"NW",189.98,0,0,2010-01-13 02:00:00
292,2010,1,13,3,11,-24,-13,1033,"NW",198.03,0,0,2010-01-13 03:00:00
293,2010,1,13,4,12,-25,-12,1032,"NW",205.18,0,0,2010-01-13 04:00:00
294,2010,1,13,5,11,-25,-12,1033,"NW",215.01,0,0,2010-01-13 05:00:00
295,2010,1,13,6,12,-25,-12,1032,"NW",226.19,0,0,2010-01-13 06:00:00
